zip_code,total_stops,area_sq_mi,stops_per_sq_mi,transit_score,transit_density_score,overall_transit_score
02132,3,9.066612883267364,0.330884315744479,3.333333333333333,0.3471189280488767,2.1388475712195505
02116,4,1.4938710024381816,2.6776073660118627,4.444444444444445,2.808982337330149,3.790259601598726
02163,0,0.3362956807560211,0.0,0.0,0.0,0.0
02135,9,4.846116265634372,1.8571572588595069,10.0,1.948277407658476,6.7793109630633905
02134,3,2.440428732604703,1.229292197686125,3.333333333333333,1.289606577330722,2.5158426309322888
02114,5,1.0006332619097011,4.996835694285774,5.555555555555555,5.242002014916547,5.430134139299952
02150,4,4.514782410089678,0.8859784673256373,4.444444444444445,0.929448393951545,3.0384460242472846
02133,0,0.023811653012577188,0.0,0.0,0.0,0.0
02122,1,3.481920375466331,0.2871978368735875,1.1111111111111112,0.30128900201634673,0.7871822674732053
02199,1,0.10490643150246341,9.532304032060399,1.1111111111111112,10.0,4.666666666666667
02118,0,1.9953775105544973,0.0,0.0,0.0,0.0
02110,2,0.4993153637805957,4.005484599666396,2.2222222222222223,4.2020109578907485,3.014137716489633
02128,5,11.256182305368974,0.44420033936507053,5.555555555555555,0.4659947247497277,3.519731223233224
02125,4,4.5317907718921875,0.8826532824086789,4.444444444444445,0.9259600611143057,3.037050691112389
02124,5,5.5621914927993,0.898926260714486,5.555555555555555,0.9430314619540979,3.7105459181149723
02126,3,3.3731395009258818,0.8893791671457821,3.333333333333333,0.9330159467789695,2.3732063787115876
02113,0,0.17838676220626823,0.0,0.0,0.0,0.0
02129,2,3.3710448041764884,0.5932878725082918,2.2222222222222223,0.6223971355853336,1.5822921875674667
02136,3,8.591827488316792,0.34916902185005627,3.333333333333333,0.36630076073495077,2.14652030429398
02109,0,0.5195317952594827,0.0,0.0,0.0,0.0
02108,4,0.5124366403271489,7.8058430744654155,4.444444444444445,8.188831418103845,5.942199233908205
02210,3,2.616943757603324,1.1463754202908396,3.333333333333333,1.2026215450484867,2.4810486180193942
02203,0,0.017688201323897746,0.0,0.0,0.0,0.0
02151,3,12.817912445978683,0.2340474716646375,3.333333333333333,0.2455308505451104,2.098212340218044
02111,1,0.3591010091742897,2.7847318009475432,1.1111111111111112,2.92136275928835,1.8352117703820068
02120,2,1.1334233315802205,1.7645657578017184,2.2222222222222223,1.8511429680241842,2.0737905205430067
02131,1,5.109834200458362,0.19570106597789377,1.1111111111111112,0.20530300472968985,0.7487878685585425
02152,0,5.26940489998204,0.0,0.0,0.0,0.0
02115,9,1.3065053580095936,6.8886055038542855,10.0,7.226590214375821,8.890636085750328
02130,6,6.704965966382506,0.8948591283062317,6.666666666666666,0.9387647784801181,4.375505911392047
02215,8,1.8568600336214955,4.308348424300638,8.88888888888889,4.51973458862641,7.141227168783898
02127,2,4.926657313362608,0.405954762588294,2.2222222222222223,0.42587265494567655,1.5036823953116039
02119,2,2.9566247097178087,0.6764470287441003,2.2222222222222223,0.7096364388598786,1.6171879088772847
02121,1,3.469220142634513,0.28824921996463554,1.1111111111111112,0.30239197049858546,0.7876234548661009
