zip_code,median_home_value,median_rent,median_household_income,price_to_income_ratio,rent_to_income_ratio,home_value_score,rent_score,price_income_score,overall_housing_score,data_source
02108,1673800.0,2545.0,170379.0,9.823980654892916,0.17924744246650115,0.0,4.1224665804225955,6.76608294951553,3.1343840405267906,census_api
02109,1010200.0,3154.0,162179.0,6.228919897150679,0.23337176823139863,5.422454649452525,1.4963346269943945,9.29702124349173,5.016954290101981,census_api
02110,1162200.0,2939.0,126157.0,9.212330667343073,0.27955642572350325,4.180421637522471,2.4234583872358773,7.196687181353928,4.319550885880028,census_api
02111,951800.0,1873.0,72321.0,13.160769347768975,0.3107811009250425,5.899656806667757,7.020267356619232,4.416969304212202,5.921198623536885,census_api
02113,683300.0,2316.0,106625.0,6.408440797186401,0.26065181711606095,8.093642752083674,5.109961190168175,9.170637754842481,7.318602956102952,census_api
02114,938600.0,2698.0,121418.0,7.7303200513927095,0.26664909650957846,6.007517568230103,3.46269943941354,8.240029053090097,5.674959094359305,census_api
02115,1000000.0,1992.0,51454.0,19.434834998250864,0.46457029579818865,5.5058016015688835,6.507115135834411,0.0,4.479810938169598,census_api
02116,1461100.0,2255.0,131648.0,11.098535488575596,0.20554812834224598,1.738029089720543,5.373005605864597,5.868790844119838,4.042961308970785,census_api
02118,1002700.0,1485.0,74155.0,13.52167756725777,0.24030746409547568,5.4837391730674945,8.69340232858991,4.162888359586216,6.27690857413002,census_api
02119,603900.0,1182.0,37158.0,16.25222024866785,0.3817212982399483,8.74244157542082,10.0,2.2405745236283057,7.557120261075404,census_api
02120,923300.0,1407.0,51698.0,17.85949166312043,0.32658903632635694,6.132537996404642,9.029754204398447,1.1090485089731195,5.890691297344593,census_api
02121,517800.0,1282.0,42411.0,12.209096696611729,0.362736082620075,9.445987906520672,9.56877964639931,5.086950959169374,8.39920577864037,census_api
02122,630300.0,1900.0,81025.0,7.779080530700401,0.28139463128663994,8.526720052296126,6.903837861147046,8.205701465149698,7.878456638607341,census_api
02124,570900.0,1629.0,72189.0,7.908407098034327,0.2707891784066825,9.012093479326687,8.072445019404915,8.114655003420499,8.458856899377519,census_api
02125,631900.0,1762.0,64983.0,9.724081682901682,0.3253774063985966,8.5136460205916,7.4989219491159975,6.836412257079239,7.739184154697049,census_api
02126,475200.0,1566.0,66689.0,7.12561291967191,0.2817856018233892,9.7940840006537,8.34411384217335,8.665745484451287,9.004509816134973,census_api
02127,818200.0,2255.0,145357.0,5.628899880982684,0.18616234512269791,6.99133845399575,5.373005605864597,9.719437925268625,7.106946824968065,census_api
02128,653600.0,1942.0,84023.0,7.778822465277364,0.27735262963712315,8.336329465598954,6.722725312634756,8.20588314432163,7.738956431742155,census_api
02129,913500.0,1900.0,146815.0,6.222116268773627,0.15529748322719067,6.21261644059487,6.903837861147046,9.301811027241666,7.226842584449831,census_api
02130,729600.0,2216.0,114933.0,6.348046253034377,0.23136958053822662,7.715312959633927,5.541181543768866,9.213155774659645,7.328827667837585,census_api
02131,601100.0,1821.0,101566.0,5.918319122541008,0.21515073942067228,8.765321130903743,7.244501940491591,9.515685529736501,8.420625513967678,census_api
02132,692800.0,1947.0,132457.0,5.2303766505356455,0.17638931879779854,8.016015688838046,6.701164294954722,10.0,8.051813778769372,census_api
02133,450000.0,1700.0,55000.0,8.181818181818182,0.3709090909090909,10.0,7.766278568348426,7.922172420071706,8.698740603939875,estimated
02134,602300.0,2211.0,80027.0,7.526209904157347,0.33153810588926236,8.755515607125346,5.5627425614489,8.383723477924109,7.545097008838281,census_api
02135,674500.0,2154.0,87603.0,7.699508007716631,0.2950583884113558,8.165549926458572,5.808538163001293,8.261720864859205,7.364638543848683,census_api
02136,543300.0,1588.0,91579.0,5.932582797366209,0.20808263903296606,9.237620526229776,8.2492453643812,9.505643841080703,8.958695048295507,census_api
02150,450600.0,1808.0,70968.0,6.349340547852553,0.30571525194453836,9.995097238110803,7.300560586459682,9.212244585519946,8.856296246885197,census_api
02151,518600.0,1788.0,78882.0,6.574376917420958,0.27200121700768237,9.43945089066841,7.38680465717982,9.053818009821196,8.624616488735601,census_api
02152,563100.0,1841.0,98901.0,5.693572360239027,0.2233748900415567,9.075829383886255,7.158257869771454,9.673908220669404,8.554199063141862,census_api
02163,580000.0,2952.0,67969.0,8.5333019464756,0.5211787726757786,8.93773492400719,2.3673997412677883,7.674726332334081,6.322365462130122,estimated
02199,825000.0,3413.0,111786.0,7.380172830229188,0.3663786162846868,6.935773819251512,0.3794739111686074,8.48653420843792,5.028758948719098,estimated
02203,680000.0,2800.0,88000.0,7.7272727272727275,0.38181818181818183,8.12060794247426,3.022854678740836,8.24217438242641,6.366785910155599,estimated
02210,1136700.0,3501.0,179643.0,6.32754964011957,0.2338638299293599,4.388789017813368,0.0,9.227585478639245,4.0624119767851585,census_api
02215,698200.0,2308.0,64138.0,10.885902273223362,0.43181889051732203,7.971890831835267,5.144458818456231,6.01848554570375,6.493938305619725,census_api
